id,name,specialty,experience,symptoms,schedule,cost,content,
65,Nguyễn Văn N,Nhi khoa,6,"sốt cao, viêm phổi, đau bụng","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn N là bác sĩ Nhi khoa, có 6 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như sốt cao, viêm phổi, đau bụng. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
66,Nguyễn Văn O,Tai mũi họng,7,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn O là bác sĩ Tai mũi họng, có 7 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
67,Nguyễn Văn P,Da liễu,8,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn P là bác sĩ Da liễu, có 8 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
68,Nguyễn Văn Q,Tim mạch,9,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn Q là bác sĩ Tim mạch, có 9 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
69,Nguyễn Văn R,Tiêu hóa,10,"đau bụng, tiêu chảy, táo bón","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn R là bác sĩ Tiêu hóa, có 10 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau bụng, tiêu chảy, táo bón. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
70,Nguyễn Văn S,Cơ xương khớp,1,"đau lưng, đau gối, viêm khớp","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn S là bác sĩ Cơ xương khớp, có 1 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau lưng, đau gối, viêm khớp. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
71,Nguyễn Văn T,Phụ sản,2,"kinh nguyệt không đều, đau bụng kinh, khám thai","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn T là bác sĩ Phụ sản, có 2 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như kinh nguyệt không đều, đau bụng kinh, khám thai. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
72,Nguyễn Văn U,Nội khoa,3,"ho, sốt, đau họng","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn U là bác sĩ Nội khoa, có 3 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như ho, sốt, đau họng. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
73,Nguyễn Văn V,Nhi khoa,4,"sốt cao, viêm phổi, đau bụng","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn V là bác sĩ Nhi khoa, có 4 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như sốt cao, viêm phổi, đau bụng. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
74,Nguyễn Văn W,Tai mũi họng,5,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn W là bác sĩ Tai mũi họng, có 5 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
75,Nguyễn Văn X,Da liễu,6,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn X là bác sĩ Da liễu, có 6 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
76,Nguyễn Văn Y,Tim mạch,7,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn Y là bác sĩ Tim mạch, có 7 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
77,Nguyễn Văn Z,Tiêu hóa,8,"đau bụng, tiêu chảy, táo bón","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn Z là bác sĩ Tiêu hóa, có 8 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau bụng, tiêu chảy, táo bón. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
78,Nguyễn Văn A,Cơ xương khớp,9,"đau lưng, đau gối, viêm khớp","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn A là bác sĩ Cơ xương khớp, có 9 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau lưng, đau gối, viêm khớp. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
79,Nguyễn Văn B,Phụ sản,10,"kinh nguyệt không đều, đau bụng kinh, khám thai","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn B là bác sĩ Phụ sản, có 10 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như kinh nguyệt không đều, đau bụng kinh, khám thai. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
80,Nguyễn Văn C,Nội khoa,1,"ho, sốt, đau họng","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn C là bác sĩ Nội khoa, có 1 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như ho, sốt, đau họng. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
81,Nguyễn Văn D,Nhi khoa,2,"sốt cao, viêm phổi, đau bụng","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn D là bác sĩ Nhi khoa, có 2 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như sốt cao, viêm phổi, đau bụng. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
82,Nguyễn Văn E,Tai mũi họng,3,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn E là bác sĩ Tai mũi họng, có 3 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
83,Nguyễn Văn F,Da liễu,4,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn F là bác sĩ Da liễu, có 4 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
84,Nguyễn Văn G,Tim mạch,5,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn G là bác sĩ Tim mạch, có 5 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
85,Nguyễn Văn H,Tiêu hóa,6,"đau bụng, tiêu chảy, táo bón","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn H là bác sĩ Tiêu hóa, có 6 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau bụng, tiêu chảy, táo bón. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
86,Nguyễn Văn I,Cơ xương khớp,7,"đau lưng, đau gối, viêm khớp","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn I là bác sĩ Cơ xương khớp, có 7 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau lưng, đau gối, viêm khớp. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
87,Nguyễn Văn J,Phụ sản,8,"kinh nguyệt không đều, đau bụng kinh, khám thai","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn J là bác sĩ Phụ sản, có 8 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như kinh nguyệt không đều, đau bụng kinh, khám thai. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
88,Nguyễn Văn K,Nội khoa,9,"ho, sốt, đau họng","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn K là bác sĩ Nội khoa, có 9 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như ho, sốt, đau họng. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
89,Nguyễn Văn L,Nhi khoa,10,"sốt cao, viêm phổi, đau bụng","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn L là bác sĩ Nhi khoa, có 10 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như sốt cao, viêm phổi, đau bụng. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
90,Nguyễn Văn M,Tai mũi họng,1,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn M là bác sĩ Tai mũi họng, có 1 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
91,Nguyễn Văn N,Da liễu,2,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn N là bác sĩ Da liễu, có 2 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
92,Nguyễn Văn O,Tim mạch,3,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn O là bác sĩ Tim mạch, có 3 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
93,Nguyễn Văn P,Tiêu hóa,4,"đau bụng, tiêu chảy, táo bón","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn P là bác sĩ Tiêu hóa, có 4 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau bụng, tiêu chảy, táo bón. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
94,Nguyễn Văn Q,Cơ xương khớp,5,"đau lưng, đau gối, viêm khớp","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn Q là bác sĩ Cơ xương khớp, có 5 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau lưng, đau gối, viêm khớp. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
95,Nguyễn Văn R,Phụ sản,6,"kinh nguyệt không đều, đau bụng kinh, khám thai","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn R là bác sĩ Phụ sản, có 6 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như kinh nguyệt không đều, đau bụng kinh, khám thai. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
96,Nguyễn Văn S,Nội khoa,7,"ho, sốt, đau họng","Thứ 3, 7: 9h-11h, 13h-16h",150000,"Bác sĩ Nguyễn Văn S là bác sĩ Nội khoa, có 7 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như ho, sốt, đau họng. Lịch khám của bác sĩ là Thứ 3-Thứ 7: 9h-11h, 13h-16h. Chi phí khám là 150000 đồng.",
97,Nguyễn Văn T,Nhi khoa,8,"sốt cao, viêm phổi, đau bụng","Thứ 2, 4, 6: 7h-11h",180000,"Bác sĩ Nguyễn Văn T là bác sĩ Nhi khoa, có 8 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như sốt cao, viêm phổi, đau bụng. Lịch khám của bác sĩ là Thứ 2, 4, 6: 7h-11h. Chi phí khám là 180000 đồng.",
98,Nguyễn Văn U,Tai mũi họng,9,"viêm họng, viêm tai giữa, chảy máu mũi","Thứ 3, 5, 7: 8h-12h, 14h-18h",250000,"Bác sĩ Nguyễn Văn U là bác sĩ Tai mũi họng, có 9 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như viêm họng, viêm tai giữa, chảy máu mũi. Lịch khám của bác sĩ là Thứ 3, 5, 7: 8h-12h, 14h-18h. Chi phí khám là 250000 đồng.",
99,Nguyễn Văn V,Da liễu,10,"mẩn ngứa, mụn trứng cá, dị ứng da","Thứ 2, 7: 8h-12h",300000,"Bác sĩ Nguyễn Văn V là bác sĩ Da liễu, có 10 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như mẩn ngứa, mụn trứng cá, dị ứng da. Lịch khám của bác sĩ là Thứ 2-Thứ 7: 8h-12h. Chi phí khám là 300000 đồng.",
100,Nguyễn Văn W,Tim mạch,1,"đau tim, nhịp tim nhanh, huyết áp cao","Thứ 2, 6: 8h-12h, 14h-17h",200000,"Bác sĩ Nguyễn Văn W là bác sĩ Tim mạch, có 1 năm kinh nghiệm. Bác sĩ có thể khám các triệu chứng như đau tim, nhịp tim nhanh, huyết áp cao. Lịch khám của bác sĩ là Thứ 2-Thứ 6: 8h-12h, 14h-17h. Chi phí khám là 200000 đồng.",
